x_position,y_position,frame,radius
459.5,271.5,6,7.648529052734375
456.5,229.5,7,5.7008771896362305
459.5,275.5,7,7.648529052734375
448.5,328.5,7,6.51920223236084
456.5,229.5,8,5.7008771896362305
459.5,275.5,8,7.648529052734375
448.5,328.5,8,6.51920223236084
456.5,195.5,9,6.964194297790527
452.5,162.5,10,7.905694007873535
468.5,274.5,10,8.86002254486084
452.5,134.5,11,7.648529052734375
476.5,282.5,11,8.276473045349121
477.5,293.5,12,7.905694007873535
476.5,293.5,13,9.192388534545898
448.5,110.5,13,6.51920223236084
483.5,314.5,15,8.86002254486084
486.5,329.5,16,7.77817440032959
440.5,44.5,17,6.041522979736328
441.5,46.5,18,7.648529052734375
441.5,36.5,19,5.522680282592773
436.5,32.5,20,6.67083215713501
408.5,315.5,20,6.67083215713501
431.5,261.5,21,6.041522979736328
436.5,31.5,21,7.77817440032959
431.5,261.5,22,6.041522979736328
436.5,31.5,22,7.77817440032959
433.5,235.5,23,6.67083215713501
433.5,33.5,23,6.964194297790527
430.5,44.5,25,9.192388534545898
428.5,59.5,27,6.67083215713501
456.5,245.5,28,7.77817440032959
446.5,143.5,28,6.67083215713501
424.5,93.5,28,6.67083215713501
423.5,115.5,29,7.905694007873535
452.5,135.5,29,6.67083215713501
453.5,220.5,29,7.648529052734375
453.5,132.5,30,7.905694007873535
419.5,140.5,30,5.7008771896362305
449.5,196.5,30,5.7008771896362305
457.5,130.5,31,6.67083215713501
456.5,131.5,32,7.905694007873535
457.5,132.5,33,6.67083215713501
427.5,280.5,33,5.7008771896362305
441.5,162.5,33,6.67083215713501
437.5,150.5,34,8.276473045349121
416.5,247.5,34,7.648529052734375
462.5,138.5,34,7.648529052734375
434.5,142.5,35,6.51920223236084
464.5,148.5,35,8.276473045349121
432.5,141.5,36,6.67083215713501
464.5,148.5,36,8.276473045349121
467.5,158.5,37,6.67083215713501
429.5,135.5,37,7.648529052734375
425.5,136.5,38,6.964194297790527
470.5,173.5,38,6.363961219787598
420.5,137.5,39,8.276473045349121
471.5,195.5,39,6.67083215713501
366.5,355.5,39,5.7008771896362305
415.5,140.5,40,6.67083215713501
443.5,156.5,40,6.67083215713501
474.5,218.5,40,6.67083215713501
452.5,266.5,40,6.041522979736328
456.5,314.5,40,5.7008771896362305
415.5,140.5,41,6.67083215713501
446.5,156.5,41,6.67083215713501
474.5,218.5,41,6.67083215713501
452.5,266.5,41,6.041522979736328
451.5,238.5,42,6.67083215713501
414.5,149.5,42,7.648529052734375
447.5,149.5,42,6.964194297790527
477.5,243.5,42,6.67083215713501
398.5,367.5,42,5.7008771896362305
450.5,142.5,43,6.67083215713501
481.5,273.5,43,7.648529052734375
404.5,269.5,43,6.67083215713501
453.5,141.5,44,6.041522979736328
404.5,269.5,44,6.67083215713501
486.5,307.5,44,7.905694007873535
457.5,144.5,45,5.7008771896362305
404.5,269.5,45,6.67083215713501
457.5,144.5,46,5.7008771896362305
457.5,151.5,47,6.67083215713501
395.5,219.5,47,5.522680282592773
459.5,158.5,48,6.67083215713501
426.5,271.5,48,7.905694007873535
424.5,151.5,48,6.51920223236084
418.5,141.5,49,6.964194297790527
465.5,188.5,49,6.363961219787598
418.5,141.5,50,6.964194297790527
465.5,188.5,50,6.363961219787598
413.5,141.5,51,6.964194297790527
467.5,207.5,51,6.67083215713501
470.5,229.5,52,7.648529052734375
408.5,143.5,52,7.77817440032959
452.5,299.5,52,8.631338119506836
402.5,151.5,53,7.648529052734375
473.5,255.5,53,7.648529052734375
449.5,266.5,53,6.041522979736328
443.5,241.5,54,7.648529052734375
475.5,285.5,54,7.77817440032959
443.5,241.5,55,7.648529052734375
475.5,285.5,55,7.77817440032959
438.5,160.5,57,5.522680282592773
388.5,191.5,57,7.382411479949951
384.5,212.5,58,7.77817440032959
