frame,ball1Error,ball2Error,ball3Error,ball4Error
144,299.4925,291.68848,273.61642,292.0146
145,309.91327,307.22836,323.15353,308.51758
146,322.69788,328.25964,335.53516,329.83698
147,370.7091,353.33963,365.16202,359.00644
148,394.37827,385.27176,391.21182,385.70944
149,386.44675,399.36765,393.2523,391.8458
150,508.7172,489.30557,500.22433,497.9379
151,614.02454,612.05536,615.87585,609.3093
152,620.04297,610.4503,619.21484,613.8376
153,650.8801,659.626,661.18805,657.30884
154,604.75726,606.08954,607.84784,612.71246
155,579.17847,578.1408,592.783,595.7522
156,236.29932,219.15955,225.98666,227.47513
157,239.37149,255.83835,241.0729,235.56137
158,219.76707,220.1288,208.71567,212.10213
159,206.74997,206.76585,199.61835,184.74628
160,193.85117,193.43588,171.30447,170.19765
161,163.83914,157.30157,177.26637,171.16849
162,173.56139,165.78362,178.46391,172.99956
163,193.80533,199.25484,201.2195,205.04988
164,253.98035,252.24518,254.75504,254.44884
165,274.714,275.08914,265.2614,266.2516
166,302.0634,300.91788,297.5393,305.057
167,346.8159,333.62573,337.02243,346.30252
168,522.67664,532.217,530.5719,521.72235
169,570.9505,573.10236,574.542,570.08466
170,564.6867,582.23895,556.71716,585.7085
171,578.62506,565.14233,580.6616,567.26624
172,494.9818,483.70984,484.38464,493.4344
173,341.8984,347.06842,341.35977,349.07684
174,324.7051,321.656,319.13828,309.9785
175,330.45172,320.84048,331.8037,328.64557
176,329.6523,329.09854,329.3244,333.08304
177,293.76996,329.9127,333.35715,332.2518
178,371.21786,366.46338,365.27588,359.71835
179,389.34683,383.74255,371.82425,372.06976
180,424.87256,430.6827,434.09464,435.2286
181,501.6608,494.28842,496.28412,501.8454
182,508.57147,498.38925,497.08524,514.9517
183,515.2372,501.105,504.77377,504.69058
184,514.30835,510.1754,517.1935,512.8559
185,514.4311,498.60745,510.90607,510.39218
186,516.44934,519.2856,514.5605,507.82825
187,493.88858,526.26697,522.16455,516.46155
188,533.5675,525.1579,520.8154,522.88763
189,611.2526,606.5267,614.111,610.2762
190,616.225,610.8453,608.76483,616.9583
191,613.11444,606.957,599.2514,592.3656
192,614.5577,617.26526,612.35187,607.81757
193,618.1875,619.349,616.07806,620.1268
194,610.8521,610.7542,620.2865,619.32587
195,614.0526,607.843,619.22516,622.5841
196,517.5134,534.49615,479.48853,502.12445
197,-275.6575,-280.91656,-269.32376,-271.6182
198,625.9133,626.3349,619.79834,619.51184
