x_position,y_position,frame
385.5,238.5,7
386.5,241.5,8
386.5,241.5,10
386.5,241.5,10
379.5,151.5,12
377.5,153.5,13
374.5,157.5,14
372.5,160.5,15
370.5,166.5,16
367.5,173.5,17
365.5,180.5,18
401.5,330.5,18
363.5,189.5,19
360.5,199.5,20
354.5,340.5,20
401.5,340.5,20
359.5,210.5,21
404.5,341.5,21
354.5,340.5,22
354.5,340.5,22
356.5,222.5,22
389.5,232.5,22
404.5,341.5,23
404.5,341.5,23
354.5,236.5,23
391.5,233.5,23
392.5,237.5,24
354.5,236.5,25
354.5,236.5,25
393.5,242.5,25
369.5,262.5,25
369.5,262.5,26
396.5,248.5,26
398.5,255.5,27
350.5,316.5,28
350.5,316.5,28
350.5,316.5,28
350.5,316.5,28
400.5,263.5,28
385.5,147.5,28
412.5,289.5,28
383.5,149.5,29
350.5,320.5,29
408.5,311.5,29
400.5,263.5,30
400.5,263.5,30
400.5,263.5,30
400.5,263.5,30
400.5,263.5,30
400.5,263.5,30
400.5,263.5,30
400.5,263.5,30
400.5,263.5,30
381.5,154.5,30
342.5,329.5,30
380.5,261.5,30
407.5,313.5,30
379.5,159.5,31
345.5,334.5,31
407.5,313.5,32
405.5,313.5,32
377.5,165.5,32
405.5,313.5,32
347.5,339.5,32
411.5,317.5,33
384.5,267.5,34
384.5,267.5,34
409.5,328.5,34
356.5,342.5,34
384.5,267.5,35
384.5,267.5,35
384.5,267.5,35
384.5,267.5,35
384.5,267.5,35
384.5,267.5,35
410.5,334.5,35
402.5,184.5,36
402.5,184.5,36
372.5,268.5,36
408.5,339.5,36
364.5,345.5,36
364.5,345.5,36
402.5,184.5,37
402.5,184.5,37
402.5,184.5,37
402.5,184.5,37
402.5,184.5,37
402.5,184.5,37
402.5,184.5,37
411.5,339.5,37
372.5,268.5,37
364.5,345.5,38
364.5,345.5,38
365.5,228.5,38
381.5,281.5,38
408.5,339.5,39
408.5,339.5,39
364.5,345.5,39
364.5,345.5,39
372.5,267.5,39
354.5,308.5,39
408.5,339.5,40
408.5,339.5,40
408.5,339.5,40
408.5,339.5,40
408.5,339.5,40
408.5,339.5,40
364.5,345.5,41
354.5,308.5,41
374.5,290.5,41
364.5,345.5,42
383.5,159.5,42
409.5,312.5,42
358.5,291.5,42
358.5,291.5,42
374.5,290.5,43
380.5,161.5,43
374.5,290.5,44
374.5,290.5,44
358.5,291.5,44
358.5,291.5,44
378.5,164.5,44
377.5,262.5,44
400.5,279.5,44
358.5,291.5,45
358.5,291.5,45
375.5,168.5,45
385.5,281.5,45
409.5,317.5,45
373.5,174.5,46
383.5,250.5,46
410.5,303.5,46
409.5,317.5,47
350.5,337.5,48
382.5,262.5,48
357.5,347.5,49
362.5,208.5,50
359.5,345.5,50
384.5,267.5,50
357.5,347.5,51
362.5,208.5,51
357.5,347.5,51
360.5,219.5,51
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
362.5,208.5,52
359.5,345.5,52
359.5,345.5,52
362.5,208.5,52
359.5,345.5,52
359.5,345.5,52
384.5,267.5,52
384.5,267.5,52
388.5,239.5,52
362.5,208.5,53
362.5,208.5,53
359.5,345.5,53
359.5,345.5,53
359.5,345.5,53
384.5,267.5,53
384.5,267.5,53
384.5,267.5,53
359.5,345.5,54
359.5,345.5,54
359.5,345.5,54
359.5,345.5,54
359.5,345.5,54
384.5,267.5,54
384.5,267.5,54
353.5,262.5,54
353.5,262.5,54
359.5,345.5,55
359.5,345.5,55
359.5,345.5,56
359.5,345.5,56
371.5,291.5,57
371.5,291.5,57
418.5,269.5,57
371.5,291.5,58
371.5,291.5,58
388.5,159.5,58
386.5,162.5,59
396.5,280.5,59
396.5,280.5,59
383.5,166.5,60
339.5,336.5,60
341.5,342.5,61
398.5,301.5,61
409.5,215.5,61
347.5,345.5,62
406.5,203.5,62
409.5,215.5,63
403.5,194.5,63
356.5,344.5,63
356.5,344.5,64
358.5,342.5,64
381.5,236.5,65
381.5,236.5,65
358.5,343.5,65
358.5,343.5,65
381.5,236.5,66
381.5,236.5,66
381.5,236.5,66
381.5,236.5,66
389.5,236.5,67
389.5,236.5,67
366.5,346.5,68
392.5,240.5,68
392.5,240.5,68
366.5,346.5,69
366.5,346.5,69
363.5,249.5,69
363.5,249.5,69
366.5,346.5,71
366.5,346.5,71
366.5,346.5,71
366.5,346.5,71
366.5,346.5,71
366.5,346.5,72
366.5,346.5,72
356.5,296.5,72
356.5,296.5,72
356.5,296.5,72
366.5,346.5,73
366.5,346.5,73
366.5,346.5,73
366.5,346.5,73
366.5,346.5,73
366.5,346.5,73
366.5,346.5,73
366.5,346.5,73
366.5,346.5,73
366.5,346.5,73
373.5,300.5,73
373.5,300.5,73
373.5,300.5,73
366.5,346.5,74
366.5,346.5,74
366.5,346.5,74
366.5,346.5,74
366.5,346.5,74
366.5,346.5,74
366.5,346.5,74
373.5,300.5,74
356.5,296.5,74
356.5,296.5,74
356.5,296.5,74
356.5,296.5,74
356.5,296.5,74
356.5,296.5,74
356.5,296.5,74
356.5,296.5,74
356.5,296.5,74
400.5,283.5,74
366.5,346.5,75
373.5,300.5,75
373.5,300.5,75
356.5,296.5,75
356.5,296.5,75
356.5,296.5,75
356.5,296.5,75
402.5,294.5,75
402.5,294.5,75
356.5,296.5,76
356.5,296.5,76
408.5,309.5,76
356.5,296.5,77
356.5,296.5,77
402.5,294.5,77
402.5,294.5,77
382.5,241.5,77
373.5,300.5,78
373.5,300.5,78
373.5,300.5,78
373.5,300.5,78
373.5,300.5,78
373.5,300.5,78
373.5,300.5,78
408.5,309.5,78
385.5,237.5,78
354.5,340.5,78
354.5,340.5,78
382.5,241.5,79
385.5,237.5,79
386.5,234.5,79
385.5,237.5,80
385.5,237.5,80
