x_position,y_position,frame,radius
479.5,409.5,25,15.89024829864502
482.5,416.5,27,13.435029029846191
488.5,422.5,28,20.98809242248535
482.5,422.5,29,15.508062362670898
488.5,428.5,30,10.124228477478027
482.5,436.5,32,19.30025863647461
359.5,252.5,34,15.508062362670898
351.5,240.5,35,20.796634674072266
336.5,238.5,38,28.783676147460938
458.5,497.5,61,11.067972183227539
451.5,513.5,62,19.912307739257812
443.5,524.5,63,16.68832015991211
453.5,276.5,67,18.124568939208984
455.5,267.5,68,20.5548038482666
403.5,335.5,72,12.349088668823242
500.5,380.5,94,12.747549057006836
497.5,406.5,95,14.577380180358887
463.5,492.5,98,13.729530334472656
447.5,509.5,99,16.5075740814209
438.5,519.5,100,16.56804084777832
515.5,347.5,109,14.577380180358887
516.5,378.5,110,17.90251350402832
516.5,409.5,111,19.912307739257812
503.5,432.5,112,14.577380180358887
490.5,462.5,113,12.103718757629395
465.5,486.5,114,14.577380180358887
451.5,501.5,115,16.68832015991211
444.5,497.5,116,15.89024829864502
459.5,272.5,116,15.953056335449219
462.5,261.5,117,18.72164535522461
466.5,261.5,118,18.72164535522461
473.5,260.5,119,19.50640869140625
319.5,233.5,131,16.324827194213867
344.5,171.5,135,13.435029029846191
479.5,194.5,138,10.977249145507812
468.5,176.5,139,19.912307739257812
334.5,241.5,139,20.98809242248535
461.5,168.5,140,19.962465286254883
322.5,252.5,140,17.219175338745117
448.5,162.5,141,15.700318336486816
324.5,254.5,141,22.32711410522461
441.5,161.5,142,12.349088668823242
291.5,320.5,146,12.349088668823242
305.5,224.5,148,15.700318336486816
332.5,233.5,148,20.98809242248535
244.5,367.5,148,16.5075740814209
1015.5,620.5,150,21.644861221313477
324.5,233.5,150,20.940391540527344
318.5,256.5,151,14.849242210388184
247.5,356.5,151,14.71393871307373
229.5,362.5,152,16.5075740814209
312.5,266.5,153,20.50609588623047
333.5,228.5,153,21.691011428833008
473.5,492.5,154,13.285329818725586
332.5,230.5,155,24.545875549316406
466.5,512.5,156,16.5075740814209
455.5,536.5,158,17.734148025512695
456.5,544.5,159,15.57241153717041
451.5,551.5,160,14.300349235534668
1023.5,600.5,160,16.68832015991211
456.5,540.5,162,13.729530334472656
458.5,520.5,163,16.56804084777832
458.5,196.5,164,21.505813598632812
458.5,489.5,164,12.589678764343262
466.5,204.5,166,19.811613082885742
1021.5,601.5,166,17.734148025512695
470.5,218.5,167,20.50609588623047
476.5,239.5,168,13.209844589233398
362.5,35.5,170,8.631338119506836
481.5,248.5,179,20.012496948242188
462.5,195.5,181,18.506755828857422
459.5,188.5,182,19.811613082885742
297.5,564.5,183,12.349088668823242
449.5,180.5,183,11.067972183227539
237.5,369.5,184,34.93565368652344
442.5,177.5,184,22.461076736450195
434.5,188.5,185,17.102630615234375
229.5,370.5,185,27.2855281829834
447.5,515.5,199,13.656499862670898
244.5,251.5,215,18.668153762817383
275.5,283.5,215,20.940391540527344
185.5,429.5,224,28.539445877075195
187.5,444.5,226,24.545875549316406
185.5,448.5,228,16.68832015991211
283.5,324.5,239,17.734148025512695
278.5,280.5,240,16.5075740814209
275.5,272.5,241,14.508618354797363
269.5,263.5,242,19.912307739257812
259.5,252.5,244,18.506755828857422
254.5,264.5,245,12.589678764343262
247.5,276.5,246,20.4083309173584
239.5,297.5,247,13.729530334472656
237.5,323.5,248,16.68832015991211
336.5,551.5,250,13.509256362915039
167.5,484.5,252,15.89024829864502
267.5,285.5,262,17.846569061279297
265.5,300.5,263,21.505813598632812
256.5,320.5,264,21.644861221313477
471.5,354.5,272,14.577380180358887
479.5,382.5,273,13.285329818725586
192.5,525.5,273,30.20761489868164
185.5,503.5,274,13.656499862670898
488.5,417.5,274,18.668153762817383
190.5,454.5,275,12.589678764343262
491.5,438.5,275,26.504716873168945
480.5,468.5,277,13.285329818725586
208.5,344.5,277,15.508062362670898
216.5,295.5,278,23.1624698638916
227.5,256.5,279,21.319005966186523
236.5,222.5,280,15.953056335449219
244.5,192.5,281,17.677669525146484
485.5,474.5,281,14.577380180358887
173.5,505.5,282,16.5075740814209
487.5,388.5,283,17.846569061279297
163.5,473.5,284,13.509256362915039
389.5,574.5,309,14.71393871307373
498.5,403.5,324,10.511898040771484
498.5,371.5,325,11.067972183227539
489.5,324.5,326,14.577380180358887
291.5,425.5,327,16.446884155273438
280.5,561.5,332,16.68832015991211
261.5,307.5,338,14.577380180358887
264.5,246.5,340,15.57241153717041
532.5,294.5,361,14.577380180358887
555.5,344.5,362,18.39836883544922
579.5,387.5,363,16.5075740814209
602.5,451.5,364,17.846569061279297
624.5,516.5,365,14.230249404907227
701.5,435.5,372,12.349088668823242
733.5,419.5,373,17.677669525146484
191.5,650.5,380,18.179658889770508
182.5,649.5,381,13.435029029846191
175.5,643.5,382,18.72164535522461
166.5,657.5,383,17.90251350402832
161.5,659.5,384,16.867128372192383
153.5,662.5,385,15.57241153717041
317.5,426.5,385,16.5075740814209
307.5,434.5,386,20.4083309173584
154.5,664.5,386,14.71393871307373
262.5,435.5,386,20.98809242248535
151.5,666.5,387,19.811613082885742
312.5,440.5,387,18.828170776367188
276.5,439.5,387,25.109758377075195
152.5,673.5,388,19.039432525634766
157.5,678.5,389,18.124568939208984
160.5,685.5,390,20.700241088867188
